m_code,m_name,m_unit
09002155,Endo plugger # 9,ตัว
09002157,Rubber dam frame (เหล็ก),อัน
09002158,Rubber dam punch,อัน
09002159,Rubber dam forcep,อัน
09002220,Barbed broach 21 mm. No 10 (20) สีม่วง,กล่อง
09002221,Barbed broach 21 mm. No 15 (25) สีขาว,กล่อง
09002222,Barbed broach 21 mm. No 20 (30) สีเหลือง,กล่อง
09002223,Barbed broach 21 mm. No 25 (35) สีแดง,กล่อง
09002224,Barbed broach 21 mm. No 30 (40) สีน้ำเงิน,กล่อง
09002225,Barbed broach 21 mm. No 35 (50) สีเขียว,กล่อง
09002232,Gutta percha stopping,กล่อง
09002269,K-flex file 25 mm. No 15-40,กล่อง
09003004,Ammonia,ขวด
09003019,Camphophenol,ขวด
09003048,Micropore (ขนาด 2.5 ซม. x 9 ม.),ม้วน
09003098,ซองยาซิปพิมพ์อักษร ขนาด 8x12 ซม.,ซอง
09003099,ซองยาซิปพิมพ์อักษร ขนาด 9x13 ซม.,แพค/ห่อ
09003100,ถุงหูหิ้วพิมพ์อักษรใส่ซองยา ขนาด 6x12 นิ้ว,ถุง
09003131,Syringe glass 20 cc.,อัน
09003226,pH paper pH 0-14 pack strip,กล่อง
09004004,Adrenaline,กล่อง
09004015,Bone wax,กล่อง
09004028,Fluoride : Topical F vanish - Duraphat,หลอด
09004032,Formocresol,ขวด
09004033,Hibitane,แกลลอน
09004034,Hydrogen peroxide,ขวด
09004036,Local anesthesia : gel,ขวด
09004039,Local anesthesia 3%,กล่อง
09004046,Normal saline : ถุง 500 ml,ถุง
09004047,Oil of clove,ขวด
09004057,Surgicel,กล่อง
09004058,Talbot solution,ขวด
09004060,Tincture iodine,ขวด
09004064,Vasaline,กล่อง
09004067,น้ำมันยูคาลิปตัส,ขวด
09004069,ยากันเสียวฟัน (Desensitizer) : Gluma,ขวด
09004072,สบู่เหลวล้างมือ : ชนิดธรรมดา,แกลลอน
09004073,น้ำยาฟอร์มาลีน,ขวด
09004074,Gutaraldehyde 2 %,แกลลอน
09004075,Providone codine solution,แกลลอน
09004077,Savlon,แกลลอน
09004078,ไลโซน,ขวด
09004079,Virkon 5 g,ซอง
09004080,Virkon 50 g,ซอง
09004082,ผงขจัดคราบเลือดฒ่าเชื้อ (เมดิคลีน พาวเดอร์),กล่อง
09004085,Alcohol 70 %  (ชนิดบรรจุแกลลอน),แกลลอน
09004100,Providone Iodine solution,ขวด
09004130,Ethanol 3.8L,ขวด
09005002,"Autoclave tape 1""",ม้วน
09005006,Color code instrument rings,กล่อง
09005009,Examination glove without talc (vinyl)  สีฟ้า S,กล่อง
09005011,Examination glove without talc M ถุงมือไม่มีแป้ง,กล่อง
09005014,Face shield refill,แผ่น
09005023,Mask ชนิดเกี่ยวหู (HC Particulate Respirator),กล่อง
09005024,Mask ชนิดผูก,กล่อง
09005033,ซองผ้าก็อช,แพค
09005039,Surgical glove No. 6 1/2 ชนิดมีแป้ง,กล่อง
09005040,Surgical glove No 7 ชนิดมีแป้ง,กล่อง
09005043,Talcam : ผงแป้งสำหรับผสมถุงมือ,กิโลกรัม
09006003,Amalgam plugger,อัน
09006004,Amalgam well,อัน
09006008,Dycal carrier,ตัว
09006009,Hoe,อัน
09006010,"Interproximal Files : 9/10,11/12",อัน
09006011,Plastic Instrument,อัน
09006012,Spoon,อัน
09006017,Cotton plier,อัน
09006018,Dappen dish,อัน
09006019,Explorer,อัน
09006025,Forcep ปลายแหลม,อัน
09006029,Glass syringe 2 cc,อัน
09006030,Glass syringe 5 cc,อัน
09006032,Mouth mirror holder (ด้ามกระจกส่องปาก),อัน
09006034,Mouth mirror พร้อมชุด (กระจก+ด้าม),ชุด
09006035,Mouth prob : เด็ก,อัน
09006038,Needle for irrigation No. 18,กล่อง
09006039,Needle for irrigation No. 21,กล่อง
09006041,Needle for irrigation No. 24,กล่อง
09006045,Plate (Petridish),คู่
09006047,Spatula-cement,อัน
09006050,Stainless ruler,อัน
09006051,Suction Tip,อัน
09006055,Syringe-injection,อัน
09006062,"Tray - stainless ขนาด 10x14""",ใบ
09006065,XCP ฟันหน้า,ตัว
09006066,XCP ฟันหลัง,ตัว
09006067,X-ray film DF-49 (IO 42),กล่อง
09006072,"X-ray film for duplication 8"" x 10""",กล่อง
09006073,"X-ray film T-mat 6"" x12""",กล่อง
09006074,"X-ray film T-mat 8"" x10""",กล่อง
09006077,แก้วน้ำ Stainless ขนาด 5 ออนซ์,ใบ
09006078,แก้วน้ำ Stainless ขนาด 7ออนซ์,ใบ
09006081,แว่นตาป้องกันเลือดและของเหลว,กล่อง
09006085,กรรไกรตัดผ้าก็อซ,อัน
09006086,กระจกถ่ายรูปในช่องปาก,อัน
09006108,หัวกรอเร็ว Airotor Handpiece,ชุด
09006110,หัวกรอเร็ว Airotor ชนิดมีไฟ T2 RACER พร้อม Guic,ชิ้น
09006111,หัวกรอช้า Contra ไม่มีไฟ NSK รุ่น Prophy,ชิ้น
09006112,หัวกรอเร็ว Contra  มีไฟ NSK รุ่น E20 LJ,ชิ้น
09006115,Glick No.1,ตัว
09006116,หินรับเครื่อง (ชนิดละเอียด),อัน
09006117,ข้อต่อหัวกรอ,ตัว
09006265,"Slide mailer for 3 slides,100pcs./bax",กล่อง
09006266,"Slide mailer for 3 slides,250pcs./box",กล่อง
09006267,Fast drying mounting medium 500 ml.,ขวด
09007003,Adhesive - universal,ขวด
09007012,Polysulfide rubber base - regular,ชุด
09007015,Silicone - Heavy,ชุด
09007020,Adhesive Scotchbond,ขวด
09007021,Primer Scotchbond,ขวด
09008001,Acrylic resin -Duralay,ชุด
09008002,Acrylic resin (Heat - cure) - clear - ผง,กระป๋อง
09008003,Acrylic resin (Heat - cure) - pink - น้ำ,ขวด
09008005,Acrylic resin (Heat - cure) - ผงสี 1R,ขวด
09008006,Acrylic resin (Heat - cure) - ผงสี  2C,ขวด
09008007,Acrylic resin (Heat - cure) - ผงสี 4F,ขวด
09008008,Acrylic resin (Heat - cure) - ผงสี 5D,ขวด
09008010,Acrylic resin (Self - cure) - pink - ผง,กิโลกรัม
09008019,Alcohol Torch (ตะเกียงแอลกอฮอล์) : พลาสติก,อัน
09008024,Articulating tape,ชุด
09008025,Cement - Glass Ionomer self- cure for fixing C&B,ชุด
09008027,Cement - Resin cement,ชุด
09008032,Gingival retraction cord No 1,หลอด
09008033,Gingival retraction cord No 2,หลอด
09008034,Gingival retraction cord  without epinephrine No 0,หลอด
09008035,Gingival retraction cord  without epinephrine No 1,หลอด
09008036,Gingival retraction cord  without epinephrine No 2,หลอด
09008040,Occlusal plane guide (พลาสติก),อัน
09008057,Temporary cement Non-eugenol,ชุด
09008059,Wax - Aluwax,กล่อง
09008061,Wax - Colour,กล่อง
09008062,Wax - Ivory,กล่อง
09008063,Wax - Occlusal indicator,กล่อง
09008067,Wax - Sticky,กล่อง
09008072,ลวดดัดตะขอ No 18,ขวด
09008073,ลวดดัดตะขอ No 19,ขวด
09008074,ลวดดัดตะขอ No 20,ขวด
09008075,ลวดดัดตะขอ No 21,ขวด
09008076,วัสดุเสริมฐานฟันปลอมแบบแข็ง ยี่ห้อ Tokuso,ชุด
09008079,วัสดุตรวจหาส่วนเกิน Disclosing wax,กล่อง
09008087,Acrylic resin for temporary crow (Dentalon),ชุด
09008092,Glass ionomer luting cement for fix crown,ชุด
09008093,Investment stone,กระสอบ
09008094,Link plus mini kit,กล่อง
09008095,Root canal pin : สีแดงพลาสติก,กล่อง
09008098,Acrylic resin (Heat - cure) ผงสี 2 L,ขวด
09008099,Cord packer,ตัว
09008108,Fit Tester,กล่อง
09009005,Mersilk 4/0 พร้อมเข็ม 19 mm.,กล่อง
09009006,Mersilk 5/0 พร้อมเข็ม 12 mm.,กล่อง
09009007,Blade No 12,กล่อง
09009008,Blade No 12D,กล่อง
09009009,Blade No 15C,กล่อง
09009010,Blade No 20,กล่อง
09009017,Coated vicryl 5/0 พร้อมเข็ม 16 mm.,กล่อง
09009028,Needle for surgery No.18 curve,โหล
09009033,Suture wire No.24,ม้วน
09009034,Suture wire No.25,ม้วน
09009035,Suture wire No.26,ม้วน
09009036,Suture wire No.28,ม้วน
090509051,Dexon No.3/0 พร้อมเข็ม,โหล
090509052,Dexon No.4/0 พร้อมเข็ม,โหล
090509057,Blade No.11,กล่อง
090509058,Needle Holder,ตัว
090509059,Tissue Forceps TP42,อัน
09009060,Tissue Forceps (แบบไม่มีเขี้ยวโค้ง),อัน
09009061,Towel clip,อัน
09009062,กรรไกรตัดไหมชนิดโค้ง,อัน
09009063,Temporature (ปรอทวัดไข้),อัน
09009064,Steislitz root forcep-45 Des,ตัว
09009070,Artery forcep : H2 curve,อัน
09009071,Blade holder,อัน
09009072,Tissue Forceps (แบบไม่มีเขี้ยวโค้ง),อัน
09009075,Coated vicry 5/0 พร้อมเข็ม 11mm.,กล่อง
09009079,Coated vicry 5/0 พร้อมเข็ม 13mm.,กล่อง
09009080,กรรไกรตัดไหมชนิดตรง,อัน
09010001,Basic fushin,ขวด
09010002,Coe pack,ชุด
09010003,Colla Plug (3/8 inc x 3/4 inc) 1 cm x 2 cm,ชิ้น
09010010,"ผงกระดูก : Demineralized,Biomend 0.50 mm.",ขวด
09010013,"แผ่นเยื่อเหนี่ยวนำ : GTR, Biomend (15x20 mm.) Exte",กล่อง
09010014,"แผ่นเยื่อเหนี่ยวนำ : GTR, Biomend (20x30 mm.)",กล่อง
09010015,"แผ่นเยื่อเหนี่ยวนำ : GTR, Biomend (20x30 mm.) Exte",กล่อง
09010017,Orban knives : KO 1/2,ตัว
09010019,Kerkland knife : KK 15/16,อัน
09010020,หินรับเครื่อง (ชนิดหยาบ),อัน
09010027,หัวขูดหินปูน 25 K,อัน
09010029,Hand scaler : sickel ฟันหน้า,ตัว
09010030,Hand scaler : sickel ฟันหลัง,ตัว
09014179,Green stone flame shape HP,ตัว
09014180,Green stone round shape HP,ตัว
09014181,Green stone taper sharp HP,ตัว
09014182,Pink stonelong flame shape HP,ตัว
09014183,Pink stonelong taper shape HP,ตัว
09014190,Green stone flame shape FG,ตัว
09014191,Green stone round shape (Latch),ตัว
09014192,Green stone round shape FG,ตัว
09014194,white stone flame shape FG,ตัว
09014199,Silicone polishing brown flame HP,ตัว
09014201,Sillicone polishing brown wheel shape HP,ตัว
09014202,Sillicone polishing brown wheel shape HP for interpro,ตัว
09014203,Silicone polishing for acrylic - black HP,ตัว
09014205,Silicone polishing for acrylic - yellow HP,ตัว
09014206,Silicone polishing gray topedo shape HP,ตัว
09014209,Sillicone polishing green topedo shape HP,ตัว
09014210,Sillicone polishing green wheel shape HP for metal,ตัว
09014212,Silicone polishing brown flame shape FG,ตัว
09014213,Silicone polishing gray flame shape (Latch),ตัว
09014216,Chipless wheels,ตัว
09014218,Composite finishing kit (Stone),ชุด
09014219,Cotton wheel 2.5 cm.,อัน
09014220,Cotton wheel พร้อม Mandrel,อัน
09014221,Cutting Disks (Fiber Disk),กล่อง
09014222,Emery band (กระดาษทรายวงแหวน),กล่อง
09014227,Heatless stone wheel,ตัว
09014228,Mandrel for pop-on,ถุง
09014230,Mandrel long shank สำหรับเสียบกระดาษทราย,อัน
09014231,Mandrel long shank สำหรับเสียบกระดาษทรายวงแหวน,อัน
09014232,"Mini flexidisc spindile kit 3/8"" for microfill,composite",ชุด
09014233,"Mini flexidisc start kit 3/"" for microfill, composite",ชุด
09014243,Polishing kit : Enhance refill cup,ชุด
09014244,Polishing kit : Enhance refill Disc,ชุด
09014254,Pumice หยาบ (1),ถุง
09014256,Rubber brush,ตัว
09014258,Sand paper strip,กล่อง
09014264,ผงขัดผสมฟลูออไรด์ : Nupro,กล่อง
09014265,หัว Composhape,กล่อง
09014266,หัว Composhape No.4205 คาดแดง,ตัว
09014267,หัว Composhape No.4205L คาดแดง,ตัว
09014268,หัว Composhape No.5205 คาดเหลือง,ตัว
09014269,หัว Composhape No.5205L คาดเหลือง,ตัว
09014274,หัวขัด Porcelain PA,กล่อง
09014277,"หัวขัดผ้า (Cotton) 6""",อัน
09014278,หัวขัดสีชมพูรูปดอกบัว (หัวใหญ่),ตัว
09014279,หัวยางขัดโลหะสีแดง,ตัว
09014280,หัวยางขัดมันโลหะสีเขียวก้านยาว,ตัว
09014283,Acrylic carbide bur,ตัว
09014284,Acrylic carbide bur : หัวมะเฟือง,ตัว
09014287,Diamond round bur .009 (Latch),ตัว
09014289,Steel round long shank bur .023 HP,ตัว
09014290,Finishing steel round bur .012 (Latch),ตัว
09014291,Finishing steel round bur .014 (Latch),ตัว
09014292,Finishing steel round bur .016 (Latch),ตัว
09014293,Finishing steel round bur .018 (Latch),ตัว
09014294,Finishing steel round bur .021 (Latch),ตัว
09014295,Finishing steel round bur .023 (Latch),ตัว
09014296,Green stone long flame shape HP,ตัว
09014297,Green stone long wheel shape HP,ตัว
09014299,Sand paper disc,กล่อง
09014300,Steel taper bur long shank .009 HP,ตัว
09014301,หัวกรอ Contra angle,ชิ้น
09014307,หัว Composhape Refill,ตัว
09014320,Carbide fissure long shank bur .016 HP,กล่อง
09014321,Carbide fissure long shank bur .018 HP,กล่อง
09014322,Carbide round long shank bur .006 HP,กล่อง
09014323,Carbide round long shank bur .008 HP,กล่อง
09014328,Carbide taper fissure long shank bur .016 HP,กล่อง
09014330,Carbide bur for removing Composite,กล่อง
09014331,Carbide fissure bur No. 557,กล่อง
09014332,Carbide fissure bur .330 FG,กล่อง
09014333,Carbide fissure taper bur # 170 L FG,กล่อง
09014334,Carbide invented bur.006,กล่อง
09014335,Carbider round  bur .006 FG,กล่อง
09014337,Carbider round  bur .008 FG,กล่อง
09014339,Carbider round  bur .010 FG,กล่อง
09014341,Carbider round  bur .014 FG,กล่อง
09014342,Carbider round  bur .033 FG,กล่อง
09014343,Carbide taper bur # 169 FG,กล่อง
09014344,Carbide taper bur # 169 L FG,กล่อง
09014345,Carbide taper bur # 170 FG,กล่อง
09014346,Diamond bur cylinder .010 FG,กล่อง
09014347,Diamond bur cylinder .012 FG,กล่อง
09014348,Diamond fissure bur .008 FG,กล่อง
09014349,Diamond fissure bur .009 FG,กล่อง
009014350Z,Diamond fissure bur .010 FG,กล่อง
09014351,Diamond fissure bur .012 FG,กล่อง
09014352,Diamond fissure bur .014 FG,กล่อง
09014353,Diamond fissure bur .016 FG,กล่อง
09014354,Diamond flat end taper bur FG,กล่อง
09014355,Diamond inverted bur.009 FG,กล่อง
09014356,Diamond inverted bur .012 FG,กล่อง
09014357,Diamond inverted bur .014 FG,กล่อง
09014358,Diamond round bur .006 FG,กล่อง
09014367,Diamond round bur .007 FG,กล่อง
09014368,Diamond round end taper .010 FG (สั้น),กล่อง
09014370,Diamond round end taper bur .012 FG,กล่อง
09014371,Diamond round end taper bur .014 FG D10,กล่อง
09014374,Diamond taper bur.012 FG,กล่อง
09014375,Diamond taper bur.014 FG,กล่อง
09014376,Diamond taper bur.018 FG,กล่อง
09014377,Diamond taper fissure bur.016.FG,กล่อง
09014378,Diamond taper fissure bur .012 FG,กล่อง
09014379,Diamond torpedo shape.012 FG,กล่อง
09014380,Diamond torpedo shape .014 FG,กล่อง
09014381,Diamond torpedo shape .016 FG,กล่อง
09014383,Diamond fissure bur.008 (Latch),กล่อง
09014384,Diamond fissure bur .010 (Latch),กล่อง
09014385,Diamond fissure bur .012 (Latch),กล่อง
09014386,Diamond fissure bur .009 (Latch),กล่อง
09014387,Diamond round bur .008 (Latch),กล่อง
09014388,Diamond round bur .010 (Latch),กล่อง
09014389,Diamond round bur .012 (Latch),กล่อง
09014390,Diamond round bur.014 (Latch),กล่อง
09014391,Diamond round bur.018 (Latch),กล่อง
09014392,Diamond round bur.021 (Latch),กล่อง
09014393,Diamond round bur .009 (Latch),กล่อง
09014394,Steel fissure long shank bur .016 HP,กล่อง
09014395,Steel fissure long shank bur .018 HP,กล่อง
09014396,Steel fissure long shank bur .021 HP,กล่อง
09014399,Steel round long shank bur .018 HP,กล่อง
09014400,Steel round long shank bur .020 HP,กล่อง
09014401,Steel round long shank bur .021 HP,กล่อง
09014406,Steel taper long shank bur .023 HP,กล่อง
09014408,Stell fissure bur.009 (Latch),กล่อง
09014409,Steel fissure bur .010  (Latch),กล่อง
09014410,Steel fissure bur .012  (Latch),กล่อง
09014411,Steel fissure bur .014 (Latch),กล่อง
09014412,Steel fissure bur .016 (Latch),กล่อง
09014413,Steel fissure long shank bur .016 (Latch),กล่อง
09014414,Steel fissure long shank bur .018 (Latch),กล่อง
09014415,Steel fissure long shank bur .023 (Latch),กล่อง
09014417,Steel inverted bur .008 (Latch),กล่อง
09014418,Steel inverted bur .010 (Latch),กล่อง
09014420,Steel round bur.006 (Latch),กล่อง
09014422,Steel round bur .010  (Latch),กล่อง
09014423,Steel round bur .012 (Latch),กล่อง
09014424,Steel round bur .014 (Latch),กล่อง
09014425,Steel round bur .016 (Latch),กล่อง
09014426,Steel round bur .018 (Latch),กล่อง
09014427,Steel round bur .021 (Latch),กล่อง
09014428,Steel round bur .023 (Latch),กล่อง
09014429,Steel round bur .008 (Latch),กล่อง
09014430,Steel round long shank bur .008 (Latch),กล่อง
09014431,Steel round long shank bur .010 (Latch),กล่อง
09014432,Steel round long shank bur .012 (Latch),กล่อง
09014433,Steel round long shank bur .014 (Latch),กล่อง
09014434,Steel round long shank bur .016 (Latch),กล่อง
09014435,Steel round long shank bur .018 (Latch),กล่อง
09014436,Steel round long shank bur .021 (Latch),กล่อง
09014443,Finishing steel flame bur .010 (Latch),กล่อง
09014444,Finishing steel flame bur .012 (Latch),กล่อง
09014445,Finishing steel flame bur .014 (Latch),กล่อง
09014446,Finishing steel round bur .014 (Latch),กล่อง
09014447,Finishing steel round bur .016 (Latch),กล่อง
09014449,Finishing steel round bur .021 (Latch),กล่อง
09014451,Steel fissure bur .008 (Latch),กล่อง
09014456,Gate glidden drill 28 mm #4,กล่อง
09015073,ไนโตรเจนเหลว,ลิตร
09015076,ก๊าซคาร์บอนไดอ๊อกไซด์,ท่อ
09015202,Sodium nitrite,กล่อง
099999020,ข้อต่อเข้าเครื่องขูดหินปูนของ Belmont,ตัว
099999022,ฝาปิดหลังหัวกรอ (Head cap. STD UP for pana air),อัน
099999023,สาย Saliva Ejection,เส้น/สาย
099999024,สายหัวกรอ 4 รู ชนิดไม่มีไฟ,เส้น/สาย
099999025,สายหัวกรอ 6 รู ชนิดมีไฟ,อัน
099999026,สายหัวกรอความเร็ว,เส้น/สาย
099999027,สีแต้มยูนิต,กระป๋อง
09002077,File : K-flex file 30 mm No.35,กล่อง
09002105,Gutta percha cone # FM,กล่อง
09002112,Lentulo spiral 17 mm. No.25,ตัว
09002113,Lentulo spiral 25 mm. No.20 (# 1) สีเหลือง,ตัว
09002117,Lentulo sprial 21 mm. No.30 สีฟ้า,ตัว
09002118,Lentulo sprial 21 mm. No.35 สีเขียว,ตัว
09002119,Lentulo sprial 21 mm. No.40 สีดำ,ตัว
09002120,Lentulo sprial 25 mm. No.35 สีเขียว,ตัว
09002121,Lentulo sprial 25 mm. No.40 สีดำ,ตัว
09006002,Amalgam carver,อัน
09008060,Wax - Blue inlay,กล่อง
09008077,"วัสดุเสริมฐานรากฟันปลอมชัวคราว ยี่ห้อ Trusoft, Soft liner",กล่อง
09008016,Acrylic resin ทำ tray - Formatray - ผง,ถัง
09012001,Fluoride tray L,คู่
09012002,Fluoride tray M,คู่
09012003,Fluoride tray S,คู่
09012006,Left central crown LC3,ตัว
09012007,Left central crown LC4,ตัว
09012008,Left central crown LC5,ตัว
09012009,Left central crown LC6,ตัว
09012010,Left lateral crown LL1,ตัว
09012017,"Left lower ""D"" molar DLL3",ตัว
09012018,"Left lower ""D"" molar DLL4",ตัว
09012021,"Left lower ""D"" molar DLL7",ตัว
09012022,"Left lower ""E"" molar ELL2",ตัว
09012023,"Left lower ""E"" molar ELL3",ตัว
09012024,"Left lower ""E"" molar ELL4",ตัว
09012025,"Left lower ""E"" molar ELL5",ตัว
09012026,"Left lower ""E"" molar ELL6",ตัว
09012027,"Left lower ""E"" molar ELL7",ตัว
09012028,"Left upper ""D"" molar DUL2",ตัว
09012030,"Left upper ""D"" molar DUL4",ตัว
09012031,"Left upper ""D"" molar DUL5",ตัว
09012034,"Left upper ""E"" molar EUL2",ตัว
09012035,"Left upper ""E"" molar EUL3",ตัว
09012036,"Left upper ""E"" molar EUL4",ตัว
09012037,"Left upper ""E"" molar EUL5",ตัว
09012038,"Left upper ""E"" molar EUL6",ตัว
09012040,Mouth gag : ขนาดใหญ่,อัน
09012042,Primary cuspid stainless crown Mandibular CL1,ตัว
09012043,Primary cuspid stainless crown Mandibular CL2,ตัว
09012044,Primary cuspid stainless crown Mandibular CL3,ตัว
09012046,Primary cuspid stainless crown Mandibular CL5,ตัว
09012047,Primary cuspid stainless crown Mandibular CL6,ตัว
09012049,Primary cuspid stainless crown : Maxillary CU2,ตัว
09012054,Right central crown RC1,ตัว
09012055,Right central crown RC2,ตัว
09012056,Right central crown RC3,ตัว
09012057,Right central crown RC4,ตัว
09012058,Right central crown RC5,ตัว
09012059,Right central crown RC6,ตัว
09012062,Right lateral crown RL3,ตัว
09012063,Right lateral crown RL4,ตัว
09012064,Right lateral crown RL5,ตัว
09012066,"Right lower ""D"" molar DLR2",ตัว
09012067,"Right lower ""D"" molar DLR3",ตัว
09012068,"Right lower ""D"" molar DLR4",ตัว
09012069,"Right lower ""D"" molar DLR5",ตัว
09012071,"Right lower ""D"" molar DLR7",ตัว
09012072,"Right lower ""E"" molar ELR2",ตัว
09012073,"Right lower ""E"" molar ELR3",ตัว
09012074,"Right lower ""E"" molar ELR4",ตัว
09012076,"Right lower ""E"" molar ELR6",ตัว
09012079,"Right upper ""D"" molar DUR3",ตัว
09012080,"Right upper ""D"" molar DUR4",ตัว
09012081,"Right upper ""D"" molar DUR5",ตัว
09012083,"Right upper ""D"" molar DUR7",ตัว
09012084,"Right upper ""E"" molar EUR2",ตัว
09012085,"Right upper ""E"" molar EUR3",ตัว
09012086,"Right upper ""E"" molar EUR4",ตัว
09012090,Silver solder wire,ม้วน
09012098,Stainless steel band : Mandibular NL32,ตัว
09012099,Stainless steel band : Mandibular NL33,ตัว
09012100,Stainless steel band : Mandibular NL34,ตัว
09012113,Stainless steel band : Mandibular NU32,ตัว
09012127,ฟันเด็นโตฟอร์ม #84,ซี่
09013008,Stainless steel wire 0.0175 inch - twistflex,หลอด
09013009,Stainless steel wire 0.014 inch - straight,หลอด
09013011,Stainless steel wire 0.018 inch - straight,หลอด
09013012,Stainless steel wire  0.016 x 0.022 inch - straight ,หลอด
09013013,Stainless steel wire 0.017 x 0.025 inch - straight,หลอด
09013014,Stainless steel wire 0.018 x 0.025 inch - straight,หลอด
09013015,Stainless steel swire .019 x 0.025 inch - straight ,หลอด
09013016,"Stainless steel swire 0.014 inch, upper - preformed",กล่อง
09013017,"Stainless steel swire 0.014 inch, lower - preformed",กล่อง
09013018,"Stainless steel swire 0.016 inch, upper - preformed",กล่อง
09013019,"Stainless steel swire 0.016 inch, lower - preformed",กล่อง
09013020,"Stainless steel swire 0.018 inch, upper - preformed",กล่อง
09013021,"Stainless steel swire 0.018 inch, lower - preformed",กล่อง
09013022,"Stainless steel  wire 0.020 inch,  upper - preformed ",กล่อง
09013023,"Stainless steel  wire 0.020 inch,  lower - preformed ",กล่อง
09013024,"Stainless steel  wire 0.016 x 0.022 inch, upper - preformed ",กล่อง
